year,branch,gender,type,tenth,twelve,higher_education,take_notes,prefer_tostudy,hoursstudy,time_relaxing,studymode,active_backlogs,backlog_history,participate_activities,attendance,cgpa,cgpaup,backlog,grade
2,Other,Female,H,97,96,Yes,No,Just before exam,2,>5 hours,Online Tutorials,1,0,Occasionally,75-80 %,7,7,1,Below_average
4,CSE,Female,H,9.8,97.6,No,Occasionally,Just before exam,0,>5 hours,"Online Tutorials, Class notes, Textbook",0,0,Always,above 90 %,8,8,0,Good
4,CSE,Female,D,98,98,Maybe,Yes,Just before exam,0,2-5 hours,"Class notes, Textbook",0,0,Occasionally,above 90 %,8.5,8.5,0,Excellent
4,CSE,Male,D,78,90.7,No,Yes,Just before exam,1,2-5 hours,Class notes,0,1,Occasionally,above 90 %,6.36,6.36,0,Below_average
1,ECE,Male,D,10,98,Yes,Occasionally,Just before exam,0,2-5 hours,Online Tutorials,0,0,Always,75-80 %,8.3,8.3,0,Good
1,CSE,Male,D,10,95.2,Maybe,Occasionally,Just before exam,2,>5 hours,"Class notes, Textbook",0,0,Always,80-90 %,9.53,9.53,0,Excellent
3,Other,Male,D,96,97.6,Maybe,No,Just before exam,0,2-5 hours,"Online Tutorials, Textbook",0,0,Occasionally,75-80 %,6.9,6.9,0,Average
3,EEE,Male,H,9.7,98,No,Occasionally,Daily,1,2-5 hours,Textbook,0,0,Occasionally,75-80 %,8.1,8.1,0,Good
4,Other,Male,H,88,82,Maybe,Occasionally,Just before exam,0,>5 hours,Online Tutorials,2,19,Always,75-80 %,6,6,2,Low
3,EEE,Male,H,9.7,98,No,Occasionally,Daily,1,2-5 hours,Textbook,0,0,Occasionally,75-80 %,8.1,8.1,0,Good
3,Other,Male,D,88,90,Yes,Occasionally,Just before exam,1,2-5 hours,Class notes,0,0,Occasionally,75-80 %,7,7,0,Average
2,CSE,Male,D,90,97,Yes,No,Just before exam,3,2-5 hours,Online Tutorials,0,0,Always,75-80 %,8,8,0,Good
4,CSE,Female,H,9.3,96.7,Yes,Yes,Just before exam,2,2-5 hours,"Online Tutorials, Class notes, Textbook",0,1,Occasionally,80-90 %,7.13,7.13,0,Average
3,EIE,Male,D,85,90,Yes,Occasionally,Just before exam,1,2-5 hours,Class notes,0,0,Occasionally,80-90 %,6.8,6.8,0,Average
1,CSE,Male,H,9.8,95,Yes,Yes,Daily,1,2-5 hours,Online Tutorials,0,0,Occasionally,80-90 %,9,9,0,Excellent
2,EIE,Male,D,90,90,Maybe,Yes,Just before exam,1,2-5 hours,Class notes,0,0,Occasionally,80-90 %,7.8,7.8,0,Good
